Operational Profile,DURAÇÃO,EngineLoad,PotenciaMaxima,EnginesRunning,Speed,DraftBow,DraftStern,BEAUFORT,MDO,MDOPred
Fast Transit,0.006666667,0.35,812,2,11.014,4.609,4.181,3,0.005175,0.77625
Eco Transit,0.144166667,0.3,696,2,7.82955877,2.57312909,4.51780347,5.1,0.09025599,0.62605311
Transit,0.060555556,0.31,719.2,2,9.073771,2.611376,4.131917,3.4,0.040491,0.668658716
Eco Transit,2.326111111,0.35,812,2,8.72816348,4.56480572,3.93116758,3.5,1.816455,0.780897779
Eco Transit,0.029722222,0.36,835.2,2,8.91653271,4.605,3.98545794,4,0.02346501,0.789476972
Eco Transit,0.014166667,0.36,835.2,2,8.51484314,2.561,3.849,4,0.01132901,0.799694824
Eco Transit,0.003055556,0.29,672.8,2,8.892364,2.518061,4.546808,3.2,0.001854,0.606763636
Eco Transit,0.014722222,0.2,464,2,4.19043396,4.53326415,4.099,3.6,0.005336,0.362445283
Eco Transit,0.013888889,0.29,672.8,2,8.96888,4.526,3.86838,5.9,0.00814501,0.58644072
Transit,0.043333333,0.31,719.2,2,9.07935897,2.483,4.77871154,5.5,0.029265,0.675346154
Eco Transit,0.189166667,0.31,719.2,2,8.916614,2.585313,4.237099,3.4,0.12338,0.652229075
Transit,0.026388889,0.35,812,2,10.95176842,4.474,4.54426316,3.1,0.019951,0.756037895
Transit,0.033611111,0.3,696,2,10.88602479,4.49485124,3.72679339,5.4,0.021466,0.638657851
Eco Transit,0.0625,0.32,742.4,2,8.8782,4.22506667,4.2366,2.8,0.043188,0.691008
Eco Transit,0.153333333,0.34,788.8,2,8.82988949,2.534,4.48725543,5.5,0.112731,0.735202174
Fast Transit,0.011944444,0.33,765.6,2,10.99251163,4.415,4.82890698,2.4,0.00857501,0.717907814
Transit,0.015833333,0.32,742.4,2,9.066912,2.56666,4.245719,4.8,0.010637,0.671810526
Transit,0.0075,0.35,812,2,9.146,2.558,3.819,4,0.005814,0.7752
Transit,0.028611111,0.35,812,2,9.1694466,2.563,3.83641748,4,0.02215199,0.774244311
Eco Transit,0.019722222,0.19,440.8,2,5.99719718,4.53264789,3.968,3.3,0.00662699,0.336016394
Transit,0.035,0.35,812,2,9.34233333,2.566,3.86061905,4,0.026897,0.768485714
Transit,1.437777778,0.33,765.6,2,10.57372166,2.56118451,4.60393136,5.2,1.016536,0.707018856
Transit,0.117777778,0.29,672.8,2,9.22160849,4.49442689,3.84143632,5.9,0.06979,0.592556604
Transit,0.026388889,0.31,719.2,2,9.16468421,2.476,4.71242105,5.5,0.01786701,0.677065642
Eco Transit,0.032222222,0.23,533.6,2,4.38203448,4.488,4.46968966,3.1,0.01426599,0.442737621
Eco Transit,0.405555556,0.24,556.8,2,7.14511507,4.59010548,5.03527534,3.8,0.182366,0.449669589
Eco Transit,0.849722222,0.19,440.8,2,4.82241876,4.63541844,4.20868584,5.5,0.270429,0.31825577
Eco Transit,0.005833333,0.19,440.8,2,4.145,4.67,4.712,3.7,0.001946,0.3336
Transit,0.004166667,0.35,812,2,10.946,4.609,4.203,3,0.003236,0.77664
Eco Transit,0.466388889,0.33,765.6,2,8.75002382,4.42105718,3.86326266,3.9,0.33977258,0.728517742
Eco Transit,0.123888889,0.32,742.4,2,8.88780717,2.48252242,4.77317937,5.5,0.084262,0.680141704
Eco Transit,0.089444444,0.34,788.8,2,8.66531056,4.70779192,3.4688913,3.3,0.068622,0.767202484
Transit,0.181111111,0.34,788.8,2,9.24965644,4.45365031,4.15328221,5.4,0.133592,0.73762454
Eco Transit,0.186666667,0.25,580,2,5.5363869,4.57960714,4.01322917,3.6,0.09252099,0.495648161
Transit,0.003055556,0.32,742.4,2,10.98172727,4.427,4.809,2.4,0.002157,0.705927273
Transit,4.939166667,0.3,696,2,9.56554654,4.661,3.919,3.9,3.088887,0.625386266
Transit,0.094166667,0.31,719.2,2,9.004233,2.608798,4.092378,3.4,0.062716,0.666010619
Transit,0.661944444,0.27,626.4,2,9.37307071,4.7762674,4.50238856,5.5,0.35713,0.539516576
Transit,0.015555556,0.33,765.6,2,9.05421429,2.527,4.23239286,5.5,0.01120201,0.720129214
Transit,0.124444444,0.31,719.2,2,9.07816518,2.56278125,4.48997321,5,0.081871,0.657891964
Eco Transit,0.406944444,0.25,580,2,5.72890444,4.65346758,3.92333447,5,0.190526,0.468186758
Transit,0.003611111,0.22,510.4,2,9.387385,2.510237,4.581512,3.2,0.001653,0.457753846
Transit,0.018888889,0.28,649.6,2,10.94817647,2.588,4.586,5.1,0.010973,0.580923529
Transit,0.0575,0.27,626.4,2,9.14063768,4.71128986,3.53271014,3.3,0.033016,0.574191304
Eco Transit,0.053611111,0.36,835.2,2,8.89893264,4.61999482,4.00801036,4,0.042138,0.785993782
Fast Transit,0.02,0.37,858.4,2,11.02322222,4.607,4.463,3.1,0.016851,0.84255
Eco Transit,0.003333333,0.35,812,2,8.810417,2.609005,4.537319,5.2,0.002583,0.7749
Eco Transit,0.018333333,0.36,835.2,2,8.93078788,4.87428788,4.69157576,4.1,0.01486099,0.810599455
Eco Transit,0.054166667,0.2,464,2,4.09922051,4.489,4.1916,3.2,0.01855901,0.342627877
Transit,0.099722222,0.33,765.6,2,10.899348,2.513068,4.509038,3.2,0.072805,0.730077994
Eco Transit,0.0575,0.34,788.8,2,8.943517,2.600881,4.553567,5.2,0.04353,0.757043478
Transit,0.013611111,0.31,719.2,2,9.04634694,2.476,4.70404082,5.5,0.009212,0.6768
Eco Transit,0.004722222,0.35,812,2,8.96564706,4.482,4.211,5.4,0.003566,0.755152941
Transit,0.021111111,0.29,672.8,2,9.12735526,4.67932895,4.074,4,0.01295,0.613421053
Transit,0.289166667,0.34,788.8,2,9.17205187,2.61013256,3.65800576,5.6,0.215453,0.745082421
Transit,0.076666667,0.28,649.6,2,9.0914058,4.56662319,4.15943478,5.1,0.044355,0.578543478
Transit,0.095555556,0.27,626.4,2,9.11262791,4.661,3.919,2.4,0.050249,0.525861628
Eco Transit,0.0075,0.24,556.8,2,4.32544444,4.865,4.64918519,4.8,0.003842,0.512266667
Fast Transit,0.013888889,0.32,742.4,2,11.04124,2.615,3.878,4.6,0.00965,0.6948
Transit,0.011944444,0.34,788.8,2,9.016,4.707,3.464,3.3,0.00903,0.756
Fast Transit,0.037777778,0.31,719.2,2,11.03308824,2.55602941,3.794,5.9,0.024779,0.655914706
Transit,0.161388889,0.29,672.8,2,9.67273838,4.60757831,4.436,3.1,0.099377,0.615761102
Transit,0.003055556,0.32,742.4,2,9.105182,2.566846,4.241722,4.8,0.002068,0.6768
Transit,0.003055556,0.35,812,2,10.923,4.473,4.535,3.1,0.002279,0.745854545
Fast Transit,3.686111111,0.37,858.4,2,11.21516134,4.60090754,4.4777832,3.1,3.094532,0.839511319
Eco Transit,0.188333333,0.22,510.4,2,4.09366372,4.661,3.919,2.4,0.073499,0.390260177
Eco Transit,0.069166667,0.34,788.8,2,8.72114859,4.70459839,3.45383936,3.3,0.053392,0.77193253
Eco Transit,0.02,0.19,440.8,2,4.21854167,4.662,4.69651389,3.7,0.006696,0.3348
Eco Transit,0.087222222,0.23,533.6,2,4.68734076,4.69896497,4.00830892,4.4,0.038504,0.441447134
Eco Transit,0.1125,0.32,742.4,2,8.83546667,2.47855556,4.73633333,5.5,0.076805,0.682711111
Transit,16.25583333,0.32,742.4,2,10.36295702,4.49408592,4.08265346,5.1,11.554144,0.710769098
Transit,2.162222222,0.35,812,2,10.4858046,4.58040211,4.2843881,3,1.696497,0.784608068
Transit,0.018611111,0.28,649.6,2,9.09741791,4.465,3.822,2.9,0.010712,0.575570149
Transit,8.701944444,0.36,835.2,2,10.23391541,4.58239187,3.9177158,3.2,7.0239,0.807164427
Eco Transit,0.023333333,0.21,487.2,2,6.081286,4.699687,4.082201,3.9,0.008926,0.382542857
Transit,0.016111111,0.3,696,2,10.982466,2.576629,4.381522,4.5,0.010196,0.632855172
Fast Transit,0.061111111,0.33,765.6,2,11.15946364,4.58430909,4.23889091,2.8,0.04442,0.726872727
Transit,1.395277778,0.32,742.4,2,9.68477503,2.52143241,4.42601055,4.1,0.948504,0.679795819
Eco Transit,0.016388889,0.28,649.6,2,8.99881356,4.56586441,3.91586441,5.9,0.009373,0.571911864
Eco Transit,0.012777778,0.2,464,2,4.148087,4.472129,3.39651,5.5,0.004306,0.336991304
Eco Transit,0.4575,0.22,510.4,2,6.60213843,4.27791014,4.32528719,2.8,0.184561,0.403412022
Eco Transit,0.080833333,0.24,556.8,2,5.55571478,4.88958419,4.01808935,2.8,0.037254,0.460874227
Transit,0.030277778,0.33,765.6,2,9.26410092,2.54661468,4.23661468,5.5,0.02147299,0.70919967
Eco Transit,0.025,0.32,742.4,2,8.95873333,2.56953333,4.39993333,4.1,0.01719701,0.6878804
Eco Transit,0.003055556,0.29,672.8,2,8.965364,2.517446,4.547511,3.2,0.001888,0.617890909
Eco Transit,0.025277778,0.36,835.2,2,8.66913187,2.565,3.96183516,4,0.019803,0.783415385
Eco Transit,0.210277778,0.32,742.4,2,8.90645178,4.2708362,4.26391413,4.9,0.14574501,0.693107049
Transit,0.0075,0.33,765.6,2,9.139,2.545,4.242,5.5,0.005347,0.712933333
Transit,0.054444444,0.33,765.6,2,9.10763265,4.23326531,4.20702041,2.8,0.038448,0.706187755
Transit,0.007222222,0.28,649.6,2,9.16288462,4.458,3.834,2.9,0.00418,0.578769231
Transit,0.158055556,0.35,812,2,9.263912,2.604067,4.539855,5.2,0.120879,0.764788049
Transit,0.003055556,0.33,765.6,2,9.236,4.533,4.107,3.6,0.002273,0.743890909
Eco Transit,0.003055556,0.29,672.8,2,8.927636,2.517353,4.548139,3.2,0.001874,0.613309091
Eco Transit,0.045555556,0.34,788.8,2,8.82379268,2.53254268,4.25447561,5.5,0.032891,0.721997561
Fast Transit,0.0275,0.3,696,2,11.007495,2.576849,4.382957,4.5,0.017396,0.632581818
Transit,0.016111111,0.3,696,2,9.39813793,4.25244828,4.26410345,2.8,0.010396,0.645268966
Transit,0.205833333,0.31,719.2,2,9.034201,2.610665,4.128683,3.4,0.137182,0.666471255
Fast Transit,0.003611111,0.31,719.2,2,11.028,2.631,4.059,4.6,0.002308,0.639138462
Eco Transit,0.1125,0.2,464,2,6.23603457,4.5268963,4.40379506,3.2,0.03839,0.341244444
Transit,0.018333333,0.36,835.2,2,9.08013636,2.565,3.83,4,0.01426299,0.777981273
Eco Transit,0.554722222,0.24,556.8,2,6.96937005,4.60867351,3.8680005,2.8,0.259735,0.468225338
Transit,0.020555556,0.3,696,2,9.10289189,4.545,3.71124324,3.5,0.01377,0.669891892
Transit,0.363611111,0.35,812,2,9.60638121,2.56452024,3.85630787,4,0.279382,0.768353858
Transit,0.003055556,0.28,649.6,2,9.135,4.457,3.838,2.9,0.001753,0.573709091
Transit,0.063611111,0.34,788.8,2,9.08983406,2.53,4.23799563,5.5,0.045955,0.722436681
Eco Transit,0.035555556,0.19,440.8,2,5.89825781,4.66939063,4.17169531,4,0.01159299,0.326052844
Transit,0.020833333,0.35,812,2,9.0848,4.89157333,4.71072,4.1,0.016292,0.782016
Transit,0.463888889,0.33,765.6,1.99640719,9.74077964,2.5849976,4.29163353,4.7,0.330683,0.712849581
Eco Transit,0.455555556,0.25,580,2,7.39386463,4.57865671,3.84412439,5.8,0.231909,0.509068537
Eco Transit,0.393611111,0.23,533.6,2,5.47088638,4.80682498,4.61450741,2.9,0.174838,0.444189697
Transit,0.098055556,0.32,742.4,2,9.23209348,4.28683003,4.2849915,4.9,0.067778,0.691220397
Eco Transit,0.020555556,0.32,742.4,2,8.96624324,4.24962162,4.25724324,2.8,0.01412999,0.687404919
Eco Transit,0.005833333,0.33,765.6,2,8.83,4.399,3.842,3.9,0.004268,0.731657143
Eco Transit,0.285833333,0.26,603.2,2,6.54481535,2.52212536,3.67315841,4.8,0.15165499,0.530571394
Eco Transit,0.37,0.23,533.6,2,6.15285586,4.82934234,4.24165766,5.2,0.168878,0.456427027
Transit,0.157777778,0.32,742.4,2,9.38497887,4.61231338,3.84167254,2.8,0.11023,0.698640845
Eco Transit,0.040555556,0.32,742.4,2,8.8845274,4.226,4.2324589,2.8,0.028126,0.693517808
Eco Transit,0.035277778,0.19,440.8,2,4.124858,4.46723,3.478905,5.5,0.011801,0.334516535
Transit,0.038055556,0.35,812,2,10.95743796,4.57743796,3.99294891,3.3,0.030372,0.79809635
Fast Transit,0.058888889,0.35,812,2,10.9839717,4.56671698,3.98256604,3.3,0.047039,0.798775472
Eco Transit,0.065555556,0.32,742.4,2,8.78449153,2.47835593,4.727,5.5,0.04488,0.684610169
Eco Transit,0.068055556,0.22,510.4,2,4.16222449,2.452,4.49936735,4.8,0.028913,0.424844082
Fast Transit,0.121944444,0.32,742.4,2,11.18672893,4.82236219,4.93554897,2.5,0.086653,0.710594077
Transit,0.161111111,0.33,765.6,2,10.99096724,4.42176724,4.81241379,2.4,0.11484,0.7128
Transit,1.068611111,0.35,812,2,9.92513361,4.61980088,4.6504393,3.7,0.803778,0.75217073
Eco Transit,0.039166667,0.26,603.2,2,4.20436879,2.59319858,4.27557447,4.7,0.019917,0.508519149
Eco Transit,0.026666667,0.35,812,2,8.894875,4.53454167,4.663625,3.1,0.02066501,0.774937875
Transit,0.110277778,0.33,765.6,2,9.2777733,4.22747607,4.2351864,2.8,0.07691999,0.697511244
Transit,0.047777778,0.37,858.4,2,9.12026744,4.64947674,4.06706395,4,0.038004,0.795432558
Eco Transit,0.241388889,0.23,533.6,2,5.41318642,4.59153395,4.02473993,3.9,0.106157,0.439775834
Transit,0.006388889,0.37,858.4,2,9.083,4.584,4.923,3.8,0.00503,0.787304348
Transit,2.687222222,0.33,765.6,2,10.58685011,4.7743529,4.36836841,2.2,1.962499,0.73030767
Eco Transit,0.461111111,0.19,440.8,2,4.21482651,4.70822892,4.12518554,4,0.145444,0.315420723
Eco Transit,0.036944444,0.34,788.8,2,8.75480451,2.534,4.22543609,5.5,0.02704301,0.731991248
Eco Transit,0.1,0.29,672.8,2,8.78738333,4.45551667,3.83561667,2.9,0.05858199,0.5858199
Fast Transit,0.050277778,0.3,696,2,11.032193,2.579852,4.368361,4.5,0.032246,0.641356906
Transit,0.025,0.36,835.2,2,9.08622222,2.56361111,3.833,4,0.019444,0.77776
Transit,0.285,0.31,719.2,2,10.8915078,4.4097963,4.8098577,2.4,0.19278999,0.676456105
Eco Transit,0.005833333,0.35,812,2,8.928,4.623,3.915,4.8,0.004476,0.767314286
Eco Transit,0.6575,0.23,533.6,2,7.63003601,2.51354706,4.58152412,3.2,0.302864,0.460629658
Eco Transit,0.011944444,0.22,510.4,2,4.55386047,4.573,4.24697674,5.5,0.004705,0.393906977
Eco Transit,0.023888889,0.2,464,2,5.63068605,4.5822907,4.15027907,3,0.008521,0.356693023
Eco Transit,0.004166667,0.38,881.6,2,8.9514,4.517,4.339,3.2,0.003565,0.8556
Eco Transit,0.024444444,0.32,742.4,2,8.84997727,4.682,3.38367045,3.3,0.017682,0.723354545
Transit,0.076944444,0.28,649.6,2,9.18508303,4.46350542,3.64220578,2.8,0.043531,0.565745848
Fast Transit,0.003055556,0.34,788.8,2,11.131,4.371,3.816,3.1,0.002282,0.746836364
Fast Transit,0.117222222,0.31,719.2,2,11.22754502,4.40980095,4.81470616,2.4,0.079222,0.675827488
Transit,0.073055556,0.32,742.4,2,9.09531179,4.45725855,4.8250076,2.4,0.05045001,0.690570479
Transit,0.168333333,0.36,835.2,2,9.52593069,4.57249505,4.84270297,3.8,0.13072799,0.776601921
Transit,0.325277778,0.36,835.2,2,9.35515371,4.5734526,4.85604014,3.8,0.25290699,0.777510815
Transit,0.045277778,0.34,788.8,2,9.246607,2.602875,4.543046,5.2,0.034119,0.753548466
Transit,0.019722222,0.34,788.8,2,9.13222535,2.53,4.23440845,5.5,0.01416699,0.718326254
Transit,0.341388889,0.32,742.4,2,9.157098,2.610234,4.11321,3.4,0.22877,0.670115541
Transit,0.003611111,0.32,742.4,2,9.183,4.236,4.268,2.8,0.002455,0.679846154
Transit,0.037777778,0.32,742.4,2,9.13747059,4.23442647,4.23672059,2.8,0.026225,0.694191176
Eco Transit,0.081666667,0.29,672.8,2,8.57846939,4.55982653,3.91178571,5.9,0.048003,0.587791837
Transit,0.010277778,0.35,812,2,11.05172973,4.50902703,3.86402703,5.1,0.008073,0.785481081
Transit,0.026388889,0.32,742.4,2,10.9824,2.617,3.87496842,4.6,0.018355,0.695557895
Fast Transit,0.005555556,0.35,812,2,11.119,4.656,4.071,3.3,0.004463,0.80334
Eco Transit,3.502777778,0.25,580,2,6.70779873,4.68625646,3.36139905,3.3,1.78856601,0.510613611
Fast Transit,0.015277778,0.32,742.4,2,11.0472,2.617,3.8738,4.6,0.01061299,0.694668436
Eco Transit,0.021111111,0.32,742.4,2,8.991197,2.595098,4.307859,4.6,0.014229,0.674005263
Transit,0.052777778,0.32,742.4,2,9.07805263,4.28836842,4.27526316,4.9,0.036613,0.69372
Eco Transit,0.226111111,0.32,742.4,2,8.27873342,2.57492344,4.50535284,5.1,0.155505,0.687737101
Eco Transit,0.021388889,0.36,835.2,2,8.71657143,4.687,4.11057143,4,0.01672799,0.782087844
Transit,0.044722222,0.32,742.4,2,9.0884472,2.48870807,4.85604348,5.5,0.03049199,0.681808472
Transit,0.003888889,0.33,765.6,2,9.29042857,4.612,3.836,2.8,0.002879,0.740314286
Fast Transit,0.143611111,0.35,812,2,11.09589362,4.58047195,3.99454932,3.3,0.114636,0.798239072
Transit,0.039444444,0.35,812,2,9.08293662,4.623,3.90817606,4.8,0.030312,0.768473239
Eco Transit,0.023055556,0.25,580,2,4.78675904,4.567,4.7473494,3,0.011106,0.481706024
Fast Transit,0.008888889,0.33,765.6,2,11.022906,2.511966,4.51392,3.2,0.006424,0.7227
Eco Transit,0.108333333,0.31,719.2,2,7.94382051,4.31403077,4.34558974,4.9,0.070785,0.6534
Eco Transit,0.466666667,0.22,510.4,2,6.76529524,4.84095714,4.79006845,3.6,0.19587801,0.419738593
Eco Transit,0.016388889,0.26,603.2,2,4.61961017,4.67650847,4.03649153,5.1,0.008545,0.521389831
Eco Transit,0.034722222,0.28,649.6,2,8.94236,4.449112,3.855112,2.9,0.019892,0.5728896
Transit,0.093888889,0.32,742.4,2,9.43039941,4.44678994,4.7926568,2.4,0.06464,0.688473373
Transit,0.096111111,0.31,719.2,2,9.06713873,2.48434393,4.82369364,5.5,0.06521,0.678485549
Eco Transit,0.005,0.35,812,2,8.939,4.629,4.038,4.3,0.003731,0.7462
Transit,0.061944444,0.35,812,2,10.8738296,4.41759193,4.44860538,3.1,0.04704999,0.759551408
Eco Transit,0.005,0.29,672.8,2,8.927,4.498,3.84,5.9,0.002997,0.5994
Eco Transit,0.012222222,0.31,719.2,2,8.95029545,2.484,4.78129545,5.5,0.00831401,0.680237182
Eco Transit,1.214444444,0.2,464,2,4.4568559,4.64013655,3.91425114,5,0.41059098,0.338089554
Eco Transit,0.018333333,0.33,765.6,2,7.2190303,4.691,3.83821212,4.3,0.01338601,0.730146
Eco Transit,0.298333333,0.26,603.2,2,8.50207449,4.47110428,3.64377095,2.8,0.153002,0.512855866
Eco Transit,0.019166667,0.34,788.8,2,8.86633333,2.535,4.49850725,5.5,0.01415299,0.73841687
Eco Transit,0.011388889,0.36,835.2,2,8.84231707,2.562,3.82604878,4,0.008916,0.782868293
Transit,6.499166667,0.34,788.8,2,10.20756698,4.75213515,4.20114914,3,4.77328599,0.73444585
Transit,0.194722222,0.33,765.6,2,9.17869472,4.62234094,3.89031812,4.3,0.145039,0.744850785
Eco Transit,0.022777778,0.35,812,2,9.02202439,4.82921951,4.65604878,4.1,0.018086,0.794019512
Transit,0.021666667,0.28,649.6,2,9.13947436,4.54383333,3.90210256,5.9,0.012453,0.574753846
Transit,0.005833333,0.37,858.4,2,10.18357143,4.37957143,3.825,3.1,0.004792,0.821485714
Transit,8.058611111,0.32,742.4,2,10.41648374,2.54180105,4.22385976,3.6,5.58964102,0.693623373
Eco Transit,0.268333333,0.34,788.8,2,8.89555176,2.52562008,4.2299617,5.5,0.194454,0.724673292
Eco Transit,0.030555556,0.33,765.6,2,8.95067273,4.28665455,4.28947273,4.9,0.021329,0.69804
Eco Transit,0.036944444,0.37,858.4,2,8.6927218,4.63665414,4.04893985,4,0.029665,0.802962406
Eco Transit,0.011666667,0.22,510.4,2,4.32264286,4.844,4.4627381,3.9,0.005328,0.456685714
Transit,0.003055556,0.28,649.6,2,9.204,4.45,3.853,2.9,0.001778,0.581890909
Eco Transit,0.052777778,0.22,510.4,2,6.49393158,4.62281053,4.66225263,3.7,0.020529,0.388970526
Eco Transit,0.020555556,0.19,440.8,2,6.09551351,4.601,4.0897027,5.1,0.00709301,0.345065351
Transit,0.043055556,0.35,812,2,9.16345161,2.562,3.85696774,4,0.033504,0.778157419
Transit,0.049444444,0.34,788.8,2,9.15037079,4.43860112,4.15079775,5.4,0.036613,0.74048764
Transit,0.009166667,0.36,835.2,2,9.03,2.562,3.85,4,0.00717,0.782181818
Eco Transit,0.0125,0.23,533.6,2,4.266778,2.609972,4.522086,5.2,0.006038,0.48304
Transit,0.003055556,0.32,742.4,2,9.043,4.682,3.382,3.3,0.002214,0.724581818
Eco Transit,0.011666667,0.32,742.4,2,8.954619,2.593499,4.230613,4.8,0.007973,0.6834
Eco Transit,1.220555556,0.22,510.4,2,7.50372553,4.65328129,3.71586345,4,0.51760101,0.424070013
Transit,0.007222222,0.29,672.8,2,9.036,4.46942308,3.82542308,2.9,0.004266,0.590676923
Eco Transit,0.003611111,0.37,858.4,2,8.796,4.567,4.807,3.8,0.002921,0.808892308
Eco Transit,0.009722222,0.34,788.8,2,8.875,4.613,3.891,4.3,0.007413,0.76248
Eco Transit,0.017777778,0.33,765.6,2,8.9360625,4.243,4.233375,2.8,0.01250199,0.703236937
Transit,0.021666667,0.29,672.8,2,9.21253846,4.508,3.84173077,5.9,0.012986,0.599353846
Eco Transit,0.035277778,0.21,487.2,2,6.78707874,4.60511024,4.37,2.2,0.01354701,0.384009732
Eco Transit,0.015833333,0.35,812,2,8.82096491,4.53385965,4.10614035,3.6,0.01201901,0.759095368
Eco Transit,1.137222222,0.2,464,2,5.30855154,4.66120322,3.93637469,4.4,0.394266,0.346692135
Eco Transit,0.031388889,0.34,788.8,2,8.95571681,2.53,4.23672566,5.5,0.022716,0.723695575
Transit,0.005833333,0.3,696,2,9.348,4.52,3.852,5.9,0.003587,0.614914286
Transit,0.0375,0.33,765.6,2,9.10835556,4.28237778,4.25531111,4.9,0.02609799,0.6959464
Transit,0.030277778,0.33,765.6,2,9.11662385,2.56781651,4.24626606,5.5,0.021556,0.711941284
Eco Transit,0.1125,0.22,510.4,2,4.89234074,4.71036296,3.9507037,2.7,0.04603,0.409155556
